accession,description,seq_length
PX738737.1,"PX738737.1 Mumps virus genotype D strain MuVs/Noord-Holland.NLD/27.24[D] phosphoprotein (P) gene, partial cds; P-M intergenic spacer, complete sequence; and matrix protein (M) gene, partial cds",758
PX738904.1,"PX738904.1 Mumps virus genotype D strain MuVs/Noord-Holland.NLD/27.24[D] matrix protein (M) gene, partial cds; M-F intergenic spacer, complete sequence; and fusion protein (F) gene, partial cds",428
PX738952.1,"PX738952.1 Mumps virus genotype H strain MuVs/Zuid-Holland.NLD/15.24/8[H] matrix protein (M) gene, partial cds; M-F intergenic spacer, complete sequence; and fusion protein (F) gene, partial cds",428
PX738980.1,"PX738980.1 Mumps virus genotype H strain MuVs/Zuid-Holland.NLD/25.24/4[H] matrix protein (M) gene, partial cds; M-F intergenic spacer, complete sequence; and fusion protein (F) gene, partial cds",428
PX738998.1,"PX738998.1 Mumps virus genotype H strain MuVs/Zuid-Holland.NLD/4.24[H] matrix protein (M) gene, partial cds; M-F intergenic spacer, complete sequence; and fusion protein (F) gene, partial cds",428
PX747968.1,"PX747968.1 Simian-Human immunodeficiency virus isolate CI71.w40.2F06 envelope glycoprotein (env) gene, complete cds; and vpu protein (vpu), rev protein (rev), tat protein (tat), and nef protein (nef) genes, partial cds",2568
PX747969.1,"PX747969.1 Simian-Human immunodeficiency virus isolate CI71.w40.2G02 envelope glycoprotein (env) gene, complete cds; and vpu protein (vpu), rev protein (rev), tat protein (tat), and nef protein (nef) genes, partial cds",2568
PX747970.1,"PX747970.1 Simian-Human immunodeficiency virus isolate CI71.w40.2G11 envelope glycoprotein (env) gene, complete cds; and vpu protein (vpu), rev protein (rev), tat protein (tat), and nef protein (nef) genes, partial cds",2568
PX754292.1,"PX754292.1 Enterovirus C99 isolate 4540/GD/CHN/2024, complete genome",7430
PX759561.1,"PX759561.1 Sapovirus GI.6 isolate 2024FXYQ153, complete genome",7419
PX761385.1,"PX761385.1 Rhinovirus A76 strain RV_A76/Russia/Novosibirsk/7027/2024 VP1 gene, partial cds",281
PX761386.1,"PX761386.1 Rhinovirus A73 strain RV_A73/Russia/Novosibirsk/7028/2024 VP1 gene, partial cds",299
PX761390.1,"PX761390.1 Rhinovirus A22 strain RV_A22/Russia/Novosibirsk/8128/2024 VP1 gene, partial cds",320
PX761392.1,"PX761392.1 Rhinovirus A24 strain RV_A24/Russia/Novosibirsk/004H/2024 VP1 gene, partial cds",316
PX761393.1,"PX761393.1 Rhinovirus A80 strain RV_A80/Russia/Novosibirsk/012H/2024 VP1 gene, partial cds",328
PX761394.1,"PX761394.1 Rhinovirus A12 strain RV_A12/Russia/Novosibirsk/7177/2024 VP1 gene, partial cds",324
PX761395.1,"PX761395.1 Rhinovirus A22 strain RV_A22/Russia/Novosibirsk/020H/2024 VP1 gene, partial cds",280
PX761396.1,"PX761396.1 Rhinovirus A34 strain RV_A34/Russia/Novosibirsk/7255/2024 VP1 gene, partial cds",311
PX761397.1,"PX761397.1 Rhinovirus A21 strain RV_A21/Russia/Novosibirsk/8319/2024 VP1 gene, partial cds",298
PX761398.1,"PX761398.1 Rhinovirus A80 strain RV_A80/Russia/Novosibirsk/052H/2024 VP1 gene, partial cds",305
PX761399.1,"PX761399.1 Rhinovirus A8 strain RV_A8/Russia/Novosibirsk/126H/2025 VP1 gene, partial cds",285
PX761400.1,"PX761400.1 Rhinovirus A53 strain RV_A53/Russia/Novosibirsk/190H/2025 VP1 gene, partial cds",319
PX761401.1,"PX761401.1 Rhinovirus A45 strain RV_A45/Russia/Novosibirsk/299H/2025 VP1 gene, partial cds",314
PX761402.1,"PX761402.1 Rhinovirus A76 strain RV_A76/Russia/Novosibirsk/321H/2025 VP1 gene, partial cds",319
PX761403.1,"PX761403.1 Rhinovirus A63 strain RV_A63/Russia/Novosibirsk/7865/2025 VP1 gene, partial cds",293
PX761407.1,"PX761407.1 Rhinovirus A24 strain RV_A24/Russia/Novosibirsk/7969/2025 VP1 gene, partial cds",316
PX761408.1,"PX761408.1 Rhinovirus A24 strain RV_A24/Russia/Novosibirsk/0001/2025 VP1 gene, partial cds",316
PX761409.1,"PX761409.1 Rhinovirus A61 strain RV_A61/Russia/Novosibirsk/8876/2025 VP1 gene, partial cds",309
PX761415.1,"PX761415.1 Rhinovirus A9 strain RV_A9/Russia/Novosibirsk/71036/2025 VP1 gene, partial cds",299
PX761419.1,"PX761419.1 Rhinovirus A22 strain RV_A22/Russia/Novosibirsk/71082/2025 VP1 gene, partial cds",322
PX761420.1,"PX761420.1 Rhinovirus A59 strain RV_A59/Russia/Novosibirsk/8977/2025 VP1 gene, partial cds",319
PX761422.1,"PX761422.1 Rhinovirus B27 strain RV_B27/Russia/Novosibirsk/301H/2025 VP1 gene, partial cds",321
PX761423.1,"PX761423.1 Rhinovirus B4 strain RV_B4/Russia/Novosibirsk/71024/2025 VP1 gene, partial cds",332
PX761425.1,"PX761425.1 Rhinovirus A49 strain RV_A49/Russia/Novosibirsk/7954SMRT/2025 polyprotein gene, complete cds",7001
PX761426.1,"PX761426.1 Rhinovirus C23 strain RV_C23/Russia/Novosibirsk/8311SMRT/2024 polyprotein gene, partial cds",7027
PX761427.1,"PX761427.1 Rhinovirus C36 strain RV_C36/Russia/Novosibirsk/7136SMRT/2024 polyprotein gene, complete cds",6873
PX761428.1,"PX761428.1 Rhinovirus C15 strain RV_C15/Russia/Novosibirsk/7653SMRT/2025 polyprotein gene, partial cds",6956
PX761430.1,"PX761430.1 Rhinovirus A9 strain RV_A9/Russia/Novosibirsk/71036SMRT/2025 polyprotein gene, partial cds",6790
PX761431.1,"PX761431.1 Rhinovirus A21 strain RV_A21/Russia/Novosibirsk/8319SMRT/2024 polyprotein gene, partial cds",6780
PX761433.1,"PX761433.1 Rhinovirus C15 strain RV_C15/Russia/Novosibirsk/8820SMRT/2025 polyprotein gene, partial cds",6968
PX761434.1,"PX761434.1 Rhinovirus A61 strain RV_A61/Russia/Novosibirsk/8877SMRT/2025 polyprotein gene, partial cds",6579
PX761435.1,"PX761435.1 Rhinovirus A61 strain RV_A61/Russia/Novosibirsk/8923SMRT/2025 polyprotein gene, partial cds",6582
PX762498.1,"PX762498.1 Nairobi sheep disease virus strain NSDV-HLJ-1 segment S, complete sequence",1601
PX766931.1,"PX766931.1 Yellow fever virus clone TYF5683, complete genome",10859
PX766932.1,"PX766932.1 Yellow fever virus clone TYF4814, complete genome",10859
PX766933.1,"PX766933.1 Yellow fever virus clone TYF5617, complete genome",10859
PX778756.1,"PX778756.1 Human adenovirus 4 strain hAdV_E4/Finland/401/2013, complete genome",35927
PX778758.1,"PX778758.1 Human adenovirus 4 strain hAdV_E4/Finland/349/2014, complete genome",35927
PX778759.1,"PX778759.1 Human adenovirus 4 strain hAdV_E4/Finland/304/2015, complete genome",35947
PX782068.1,"PX782068.1 Monkeypox virus isolate KMUH-Mpox-6 DNA-dependent RNA polymerase subunit rpo132 (OPG151) gene, complete cds",3495
PX830474.1,"PX830474.1 Human hepatitis A virus isolate FR24-HA9.13 polyprotein gene, partial cds",500
PX861985.1,"PX861985.1 Canine coronavirus isolate MO 4649 RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",279
PX862012.1,"PX862012.1 Canine coronavirus isolate MO 5467 RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",279
PX862015.1,"PX862015.1 Canine coronavirus isolate MO 5492 RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",279
PX866598.1,"PX866598.1 Shewanella phage Hypnos, complete genome",159709
PX872133.1,"PX872133.1 Human papillomavirus 59 isolate HPV59/E6/India/KVV-VD-35/2023 early protein 6 (E6) gene, complete cds",483
PX905700.1,"PX905700.1 Human mastadenovirus A isolate AdV-AS51, complete genome",33780
PX906848.1,"PX906848.1 Encephalomyocarditis virus strain EMCV/SPVUFRGS/Brazil-MT/Swine, complete genome",7521
PX910753.1,"PX910753.1 UNVERIFIED: Human adenovirus 14 isolate 19126074/HAdV-14/Hebei/2019/CHN hexon-like gene, partial sequence",747
PX910753.2,"PX910753.2 Human adenovirus 14 isolate 19126074/HAdV-14/Hebei/2019/CHN hexon protein gene, partial cds",732
PX910906.1,"PX910906.1 UNVERIFIED: Human adenovirus 55 isolate 1902392/HAdV-55/Hebei/2019/CHN hexon-like gene, partial sequence",744
PX910906.2,"PX910906.2 Human adenovirus 55 isolate 1902392/HAdV-55/Hebei/2019/CHN hexon protein gene, partial cds",738
PX920947.1,"PX920947.1 Orf virus isolate DE/2024 major envelope protein (B2L) gene, complete cds",1137
PX921692.1,"PX921692.1 Chikungunya virus isolate 2025YN-01 nonstructural polyprotein and structural polyprotein genes, complete cds",11706
PX934719.1,"PX934719.1 Alphapapillomavirus 10 isolate HPV6/E6/India/KVV-VDPJ-224/2024 protein E6 (E6) gene, complete cds",453
PX940873.1,"PX940873.1 MAG: Protoparvovirus sp. isolate AL2B/5207 initiator protein NS1 and VP1 genes, complete cds",5207
PX941074.1,"PX941074.1 MAG: Bovine torovirus isolate DJN/28309 U2, replicase, replicase polyprotein 1ab, membrane glycoprotein, sialate O-acetylesterase, and nucleocapsid phosphoprotein genes, complete cds",28309
PX941116.1,"PX941116.1 MAG: Statovirus sp. isolate DLN/4241 RNA-dependent RNA polymerase gene, complete cds",4241
PX941525.1,"PX941525.1 MAG: Riboviria sp. isolate HHN/5633 RNA-directed RNA polymerase gene, complete cds",5633
PX941895.1,"PX941895.1 MAG: Statovirus sp. isolate TJN/5255 coat protein gene, complete cds",5255
PX941919.1,"PX941919.1 MAG: Riboviria sp. isolate TQN/5062 RNA-dependent RNA polymerase and coat protein genes, complete cds",5062
PX941980.1,"PX941980.1 MAG: Kobuvirus sp. isolate WBYDN/8425 polyprotein gene, complete cds",8425
PX941981.1,"PX941981.1 MAG: Kobuvirus sp. isolate WBYDN/8468 polyprotein gene, complete cds",8468
PX942100.1,"PX942100.1 MAG: Statovirus sp. isolate XN/5306 coat protein gene, complete cds",5306
PX942131.1,"PX942131.1 MAG: Bovine papular stomatitis virus isolate XWNB/8018 IMV protein VP55 gene, partial cds; and IMV membrane protein, protein phosphatase, DNA-directed RNA polymerase 147 kDa polypeptide, and late membrane protein genes, complete cds",8018
PX942132.1,"PX942132.1 MAG: Bovine papular stomatitis virus isolate XWNB/8504 phosphorylated IMV membrane protein and ORF093 myristylated protein genes, complete cds",8504
PX942133.1,"PX942133.1 MAG: Bovine papular stomatitis virus isolate XWNB/8568 virion core protein P4a gene, partial cds; late virion membrane protein, intermediate transcription factor 3 small subunit, early transcription factor 82 kDa subunit, virion morphogenesis core protein, DNA-directed RNA polymerase 19 kDa subunit, virion core protein, and virion core protein 4b genes, complete cds; and thioredoxin-like protein gene, partial cds",8568
PX942152.1,"PX942152.1 MAG: Nodaviridae sp. isolate YPN/3334 RNA-directed RNA polymerase gene, partial cds; and capsid protein alpha gene, complete cds",3334
PX942153.1,"PX942153.1 MAG: Nodaviridae sp. isolate YPN/3656 replicase gene, partial cds; and capsid protein alpha gene, complete cds",3656
PX942170.1,"PX942170.1 MAG: Rotavirus C isolate ZKN2/1224 NSP1 gene, complete cds",1224
PX942217.1,"PX942217.1 MAG: Nodaviridae sp. isolate ZMYY/3351 RNA-directed RNA polymerase gene, complete cds",3351
PX942227.1,"PX942227.1 MAG: Hepeviridae sp. isolate ZQN/2238 capsid protein gene, partial cds; and replicase and capsid protein genes, complete cds",2238
PX942232.1,"PX942232.1 MAG: Roseolovirus sp. isolate WMB/129127 U86, membrane glycoprotein UL119, envelope glycoprotein L, uracil-DNA glycosylase, U79, DNA replication helicase, portal protein, cytoplasmic envelopment protein 1, DNA helicase/primase complex-associated protein, replication origin-binding protein, envelope glycoprotein M, alkaline nuclease, tegument serine-threonine protein kinase, U68, UL95, putative terminase, cytoplasmic envelopment protein 2, capsid vertex component 1, UL92, tripartite terminase subunit 3, U59, UL87, major capsid protein, triplex capsid protein 2, tegument protein pp65, capsid scaffolding protein, U52, capsid vertex component 2, U49, envelope glycoprotein H, envelope glycoprotein N, deoxyuridine 5'-triphosphate nucleotidohydrolase, tegument protein UL51 homolog, DNA primase, mRNA export factor ICP27-like protein, major DNA-binding protein, tripartite terminase subunit 1, envelope glycoprotein B, DNA-directed DNA polymerase, nuclear egress protein 1, packaging protein UL32, tripartite terminase subunit 2, nuclear egress protein 2, U33, small capsomere-interacting protein, large tegument protein deneddylase, inner tegument protein, triplex capsid protein 1, ribonucleoside-diphosphate reductase large subunit-like protein, DNA polymerase processivity factor, envelope protein UL43, U25, membrane protein U21, UL38, envelope glycoprotein UL37, U17, U15, U14, U13, G-protein coupled receptor, U11, UL31, U7 2, UL29/UL28, U7, U4, UL43, U2, DR6, and DR1 genes, complete cds",129127
PX951442.1,"PX951442.1 Mastadenovirus sp. isolate AdV-AS42, complete genome",33723
PX951443.1,"PX951443.1 Mastadenovirus sp. isolate AdV-DS41, complete genome",35094
PX952467.1,"PX952467.1 Enterovirus C109 isolate EV-C109_250010574801_FRA25 polyprotein gene, complete cds",6951
PX963124.1,"PX963124.1 Pseudomonas phage Stade, complete genome",42329
PX963125.1,"PX963125.1 Achromobacter phage Stuttgart, complete genome",80429
PX963127.1,"PX963127.1 Achromobacter phage Sankt, complete genome",45020
PX963132.1,"PX963132.1 Stenotrophomonas phage Passau, complete genome",43287
PX970893.1,"PX970893.1 Enterovirus D68 isolate 202454604 polyprotein gene, complete cds",6591
PX970894.1,"PX970894.1 Enterovirus D68 isolate 202449927 polyprotein gene, complete cds",6588
PX975021.1,"PX975021.1 Virus sp. isolate GC-15 nucleocapsid protein 1 (NP1) gene, complete cds",1457
PX990530.1,"PX990530.1 Coxsackievirus A21 strain 22A600/Hangzhou/ZJ/China/2022, complete genome",7405
PX990531.1,"PX990531.1 Coxsackievirus A21 strain 22A641/Hangzhou/ZJ/China/2022, complete genome",7405
PX990532.1,"PX990532.1 Coxsackievirus A21 strain 24A500/Hangzhou/ZJ/China/2024, complete genome",7405
PY104985.1,PY104985.1 Sequence 47 from patent US 12398420 B2,2832
PY467962.1,PY467962.1 Sequence 47 from patent US 12460255 B2,2832
PY703254.1,PY703254.1 Sequence 10 from patent US 12553894 B2,1611
PY703255.1,PY703255.1 Sequence 11 from patent US 12553894 B2,1935
PZ005679.1,"PZ005679.1 Mammalian orthoreovirus strain JX-NC01 lambda 3 protein gene, complete cds",3804
PZ005680.1,"PZ005680.1 Mammalian orthoreovirus strain JX-NC01 lambda 2 protein gene, complete cds",3870
PZ005681.1,"PZ005681.1 Mammalian orthoreovirus strain JX-NC01 lambda 1 protein gene, complete cds",3828
PZ011079.1,"PZ011079.1 Parainfluenza virus 5 isolate CHN-SCMY2025 RNA-dependent RNA polymerase (L) gene, complete cds",6768
PZ011267.1,"PZ011267.1 Human adenovirus 2 isolate HAdV_G74_2024 fiber protein gene, complete cds",1956
PZ011280.1,"PZ011280.1 Human adenovirus 2 isolate HAdV_G03_2024 hexon protein gene, complete cds",1231
PZ011304.1,"PZ011304.1 Human adenovirus 21 isolate HAdV_G27_2024 hexon protein gene, partial cds",1550
PZ011312.1,"PZ011312.1 Human adenovirus 21 isolate HAdV_G35_2024 penton protein gene, partial cds",1125
PZ011332.1,"PZ011332.1 Human adenovirus 21 isolate HAdV_G55_2024 penton protein gene, partial cds",1107
PZ023949.1,"PZ023949.1 Tick-borne encephalitis virus isolate TiHo1, complete genome",11098
PZ027454.1,"PZ027454.1 Echovirus E3 isolate E3_LEV_2025 VP2 gene, partial cds",780
PZ027455.1,"PZ027455.1 Echovirus E3 isolate E3_LEV_2025 VP3 gene, partial cds",714
PZ027456.1,"PZ027456.1 Echovirus E7 isolate E7_LEV_2025 VP1 gene, partial cds",876
PZ027457.1,"PZ027457.1 Echovirus E7 isolate E7_LEV_2025 VP3 gene, partial cds",714
PZ043809.1,"PZ043809.1 Mammalian orthorubulavirus 5 isolate Ca_PIV5 nucleocapsid protein, phosphoprotein, V protein, membrane protein, fusion protein, hemagglutinin-neuraminidase, and L protein genes, complete cds",15190
PZ043821.1,"PZ043821.1 Picobirnavirus sp. isolate Fe_FPB RNA-dependent RNA polymerase gene, complete cds",1829
PZ099083.1,"PZ099083.1 UNVERIFIED: Japanese encephalitis virus isolate HeN-60 polyprotein-like gene, complete sequence",10978
PZ099084.1,"PZ099084.1 Japanese encephalitis virus isolate SD-42 polyprotein gene, complete cds",10882
PZ111811.1,"PZ111811.1 Hepatitis delta virus isolate Participant366_Unknown_HDV-FG large delta antigen (L-HDAg) gene, complete cds",1680
PZ111812.1,"PZ111812.1 Hepatitis delta virus isolate Participant367_Unknown_HDV-FG large delta antigen (L-HDAg) gene, complete cds",1682
PZ111813.1,"PZ111813.1 Hepatitis delta virus isolate Participant368_Unknown_HDV-FG large delta antigen (L-HDAg) gene, complete cds",1677
PZ112051.1,"PZ112051.1 Human bocavirus isolate 221, complete genome",5267
PZ112052.1,"PZ112052.1 Human bocavirus isolate 252, complete genome",5302
PZ112053.1,"PZ112053.1 Human bocavirus isolate 241, complete genome",5288
PZ117054.1,"PZ117054.1 Coxsackievirus A16 isolate SPb_12080/25EVI/Kostroma/2025/RU, partial genome",5850
PZ117058.1,"PZ117058.1 Coxsackievirus A16 isolate SPb_12354/25EVI/Kostroma/2025/RU, partial genome",7286
PZ123354.1,"PZ123354.1 Japanese encephalitis virus strain JEV/ZZ/HN/2026, complete genome",10973
PZ133475.1,"PZ133475.1 Human mastadenovirus B isolate sls_advb_2026_1, complete genome",35510
PZ133476.1,"PZ133476.1 Human mastadenovirus B isolate sls_advb_2026_2, complete genome",35507
PZ134350.1,"PZ134350.1 Poliovirus 3 isolate ZJ-23-8-1, complete genome",7432
PZ135706.1,"PZ135706.1 Rotavirus sp. isolate RVA/human-wt/CHN/Xinxiang2506/2024/G9P[8] NSP1 (NSP1) gene, complete cds",1566
PZ135707.1,"PZ135707.1 Rotavirus sp. isolate RVA/human-wt/CHN/Xinxiang2506/2024/G9P[8] NSP2 (NSP2) gene, complete cds",1059
PZ135710.1,"PZ135710.1 Rotavirus sp. isolate RVA/human-wt/CHN/Xinxiang2506/2024/G9P[8] NSP5 (NSP5) gene, complete cds",664
PZ137009.1,"PZ137009.1 Human betaherpesvirus 5 strain Towne, complete genome",232182
PZ139479.1,"PZ139479.1 Usutu virus isolate 9549/France/38/2025 polyprotein gene, complete cds",10961
PZ139480.1,"PZ139480.1 Usutu virus isolate 9553/France/38/2025 polyprotein gene, complete cds",10963
PZ139481.1,"PZ139481.1 Usutu virus isolate 9555/France/38/2025 polyprotein gene, complete cds",10963
PZ146426.1,"PZ146426.1 Bovine viral diarrhea virus 1 isolate BVDV 1a GX25 polyprotein gene, complete cds",12246
PZ154824.1,"PZ154824.1 Parainfluenza virus 5 isolate CPIV5(Dog/HLJ/2015), complete genome",15246
PZ158329.1,"PZ158329.1 Human papillomavirus 18 isolate InDRE 54-Gro/Mexico/2022 major capsid L1 protein (L1) gene, partial cds",592
PZ158330.1,"PZ158330.1 Human papillomavirus 18 isolate InDRE 62-Oax/Mexico/2022 major capsid L1 protein (L1) gene, partial cds",592
PZ158331.1,"PZ158331.1 Human papillomavirus 18 isolate InDRE 76-Oax/Mexico/2022 major capsid L1 protein (L1) gene, partial cds",592
PZ161044.1,"PZ161044.1 Tembusu virus isolate Mos_L010 polyprotein gene, complete cds",11018
PZ163190.1,"PZ163190.1 Human adenovirus B3 isolate HAdV-3-TZ01, complete genome",35277
PZ163220.1,"PZ163220.1 MAG: Orthobunyavirus simbuense isolate 7IPD segment L, complete sequence",6893
PZ163221.1,"PZ163221.1 MAG: Orthobunyavirus simbuense isolate 7IPD segment M, complete sequence",4385
PZ163222.1,"PZ163222.1 MAG: Orthobunyavirus simbuense isolate 7IPD segment S, complete sequence",860
PZ163256.1,"PZ163256.1 MAG: Orthobunyavirus bwambaense isolate DakArD40700 segment L, complete sequence",6934
PZ163257.1,"PZ163257.1 MAG: Orthobunyavirus bwambaense isolate DakArD40700 segment M, complete sequence",4557
PZ163258.1,"PZ163258.1 MAG: Orthobunyavirus bwambaense isolate DakArD40700 segment S, complete sequence",1096
PZ163271.1,"PZ163271.1 MAG: Orthobunyavirus ingwavumaense isolate IbAn28558 segment L, complete sequence",6871
PZ163272.1,"PZ163272.1 MAG: Orthobunyavirus ingwavumaense isolate IbAn28558 segment M, complete sequence",4375
PZ163273.1,"PZ163273.1 MAG: Orthobunyavirus ingwavumaense isolate IbAn28558 segment S, complete sequence",967
PZ163663.1,"PZ163663.1 Chikungunya virus isolate KNL01, complete genome",11979
PZ168398.1,"PZ168398.1 Chicken anemia virus isolate SD001, complete genome",2297
PZ171582.1,"PZ171582.1 Human papillomavirus 58 isolate InDRE 216-GRO/Mexico/2022 major capsid L1 protein (L1) gene, partial cds; and long control region genomic sequence",494
PZ171583.1,"PZ171583.1 Human papillomavirus 58 isolate InDRE 295-YUC/Mexico/2022 major capsid L1 protein (L1) gene, partial cds; and long control region genomic sequence",501
PZ171584.1,"PZ171584.1 Human papillomavirus 58 isolate InDRE 723-OAX/Mexico/2021 major capsid L1 protein (L1) gene, partial cds; and long control region genomic sequence",484
PZ173232.1,"PZ173232.1 Pigeon paramyxovirus 1 isolate PPMV-1/BJ-02/2020, complete genome",15192
PZ173233.1,"PZ173233.1 Pigeon paramyxovirus 1 isolate PPMV-1/BJ-03/2019, complete genome",15192
PZ173234.1,"PZ173234.1 Pigeon paramyxovirus 1 isolate PPMV-1/BJ-04/2019, complete genome",15192
PZ179925.1,"PZ179925.1 Human adenovirus 41 strain Q20_1, complete genome",33975
PZ182137.1,"PZ182137.1 Coxsackievirus A6 strain CVA6-3415/XY/CHN/2017, complete genome",7453
PZ189253.1,"PZ189253.1 Coxsackievirus A24 isolate 23WZ008-1 polyprotein gene, complete cds",7455
PZ189254.1,"PZ189254.1 Coxsackievirus A24 isolate Y010-2 polyprotein gene, complete cds",7457
PZ189255.1,"PZ189255.1 Coxsackievirus A24 isolate Y013-1 polyprotein gene, complete cds",7457
PZ195453.1,"PZ195453.1 Porcine rotavirus VP7 gene, complete cds",981
PZ196496.1,"PZ196496.1 Bovine viral diarrhea virus 1 strain GS2025-1, complete genome",12188
PZ196497.1,"PZ196497.1 Bovine viral diarrhea virus 2 strain BVDV-2b, complete genome",12258
PZ204740.1,"PZ204740.1 Morbillivirus caprinae isolate PPRV/Thinglian/MZ/India/06/23/91-G-2026, complete genome",15948
PZ204741.1,"PZ204741.1 Morbillivirus caprinae isolate PPRV/Lungpho/MZ/India/06/23/89-G-2026, complete genome",15948
PZ205968.1,"PZ205968.1 Orthoflavivirus louisense isolate 6674, complete genome",10613
PZ205969.1,"PZ205969.1 Orthoflavivirus louisense isolate 6222, complete genome",10613
PZ205970.1,"PZ205970.1 Orthoflavivirus louisense isolate 3097, complete genome",10613
PZ206442.1,"PZ206442.1 Caliciviridae sp. isolate YC1 polyprotein gene, complete cds",7899
PZ206443.1,"PZ206443.1 Caliciviridae sp. isolate YC2 polyprotein gene, complete cds",8641
PZ213623.1,"PZ213623.1 Hepatitis E virus type 4 strain HEV-QD-2025 isolate HEV-QD-ORF1-4 polyprotein mRNA, partial cds",210
PZ213624.1,"PZ213624.1 Hepatitis E virus type 4 strain HEV-QD-2025 isolate HEV-QD-ORF2-1 capsid protein mRNA, partial cds",375
PZ213625.1,"PZ213625.1 Hepatitis E virus type 4 strain HEV-QD-2025 isolate HEV-QD-ORF2-2 capsid protein mRNA, partial cds",204
PZ244960.1,"PZ244960.1 Tick-borne encephalitis virus isolate Ekb 1 2021, complete genome",10832
PZ285637.1,"PZ285637.1 Human adenovirus 40 isolate DF176Gab hexon protein gene, partial cds",216
PZ285638.1,"PZ285638.1 Human adenovirus 40 isolate DF179Gab hexon protein gene, partial cds",177
PZ285924.1,"PZ285924.1 Human papillomavirus 39 isolate 39HB23 E6 protein and E7 protein genes, complete cds",815
PZ285925.1,"PZ285925.1 Human papillomavirus 39 isolate 39HB24 E6 protein and E7 protein genes, complete cds",815
PZ285926.1,"PZ285926.1 Human papillomavirus 39 isolate 39HB25 E6 protein and E7 protein genes, complete cds",815
PZ294306.1,"PZ294306.1 Feline infectious peritonitis virus isolate FIPV/Caramel/VVL/Ind membrane glycoprotein (M) gene, complete cds; and nucleocapsid protein (N) gene, partial cds",830
PZ305742.1,"PZ305742.1 Banzi virus strain SAH 336, complete genome",10182
PZ305744.1,"PZ305744.1 Dakar bat virus strain BP180, complete genome",10249
PZ322906.1,"PZ322906.1 Measles virus genotype B3 isolate MVs/Gashoho.BDI/26.24/4[B3], partial genome",15830
PZ322907.1,"PZ322907.1 Measles virus genotype B3 isolate MVs/Gashoho.BDI/26.24/5[B3], partial genome",15830
PZ322908.1,"PZ322908.1 Measles virus genotype B3 isolate MVs/Gashoho.BDI/26.24/6[B3], partial genome",15830
PZ327577.1,"PZ327577.1 Norovirus GIV isolate 15867 nonstructural polyprotein, RdRp region, (ORF1) gene, partial cds; and VP1 (ORF2) and VP2 (ORF3) genes, complete cds",3626
PZ327578.1,"PZ327578.1 Norovirus GIV isolate 15938 nonstructural polyprotein, RdRp region, (ORF1) gene, partial cds; and VP1 (ORF2) and VP2 (ORF3) genes, complete cds",3626
PZ327579.1,"PZ327579.1 Norovirus GIV isolate 16090, complete genome",7847
PZ351345.1,"PZ351345.1 Porcine circovirus 2 strain CHN-22GXLZ-PCV2-372, complete genome",1765
PZ351346.1,"PZ351346.1 Porcine circovirus 2 strain CHN-22GXLZ-PCV2-371, complete genome",1764
PZ351347.1,"PZ351347.1 Porcine circovirus 2 strain CHN-25GXNN-PCV2-092, complete genome",1768
PZ361933.1,"PZ361933.1 HIV-1 isolate OM5346_proviral_25_2017_intact from Canada, complete genome",8964
PZ361934.1,"PZ361934.1 HIV-1 isolate OM5346_proviral_26_2017_intact from Canada, complete genome",8953
PZ361935.1,"PZ361935.1 HIV-1 isolate OM5346_proviral_27_2019_intact from Canada, complete genome",9049
PZ370999.1,"PZ370999.1 Human rotavirus A isolate RVA/Hu/KN66/Malaysia/2018/G12P[6] viral protein 4 (VP4) gene, complete cds",2349
PZ371000.1,"PZ371000.1 Human rotavirus A isolate RVA/Hu/KN66/Malaysia/2018/G12P[6] viral protein 6 (VP6) gene, complete cds",1342
PZ371001.1,"PZ371001.1 Human rotavirus A isolate RVA/Hu/KN66/Malaysia/2018/G12P[6] viral protein 7 (VP7) gene, complete cds",1059
PZ384978.1,"PZ384978.1 Zika virus isolate ZIKV-85987 polyprotein (POLY) gene, complete cds",10447
PZ387688.1,"PZ387688.1 Hepatovirus A isolate HAV_C, complete genome",7494
PZ387689.1,"PZ387689.1 Hepatovirus A isolate HAV_WH, complete genome",7315
PZ399299.1,"PZ399299.1 Human metapneumovirus strain NIV24_2969, complete genome",13087
PZ399300.1,"PZ399300.1 Human metapneumovirus strain NIV24_312, complete genome",13087
PZ399301.1,"PZ399301.1 Human metapneumovirus strain NIV24_680, complete genome",13087
PZ439299.1,"PZ439299.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/Camel/Kazakhstan/12/2025, complete genome",30118
PZ451517.1,"PZ451517.1 Measles virus genotype D8 strain MVs/Washington.USA/17.2026/WAPHL-466705, partial genome",15678
PZ457019.1,"PZ457019.1 Human coronavirus OC43 isolate Rotterdam/Netherlands/K-2016-000986, complete genome",30654
PZ457020.1,"PZ457020.1 Human coronavirus OC43 isolate Rotterdam/Netherlands/2021-ABW, complete genome",30649
PZ463330.1,"PZ463330.1 Measles virus genotype D8 isolate MVs/Utah.USA/18.26/UT-UPHL-260522232290 [D8], partial genome",15774
PZ463331.1,"PZ463331.1 Measles virus genotype D8 isolate MVs/Utah.USA/20.26/UT-UPHL-260522138796 [D8], partial genome",15676
PZ469689.1,"PZ469689.1 Coxsackievirus A6 isolate 433/JN/CHN/2025, complete genome",7424
